IDENT,AGE10,CA0ACATAEU_15,CA0AREGIONF_15,CA0AREG_15,CA1,CA11,CA12,CA20_15,CA23A,CA7,CA8,CA8B3,HABDE_15,OS1,PER1,Q1,Q31,STRADEF,CONTRAT_15,DEST,LIEUNAIS,PCS_15,PHD,PONDEF,POSPRO_15,REGETAB,SALPRS_15,SITDE_15,TAPE,TAPI,ZUS
C0068009,24,111,BOURGOGNE,26,,5,1,2,1,,,,02,2,2,1,2,21,,CER,00,,04T,29.244321814,,26,,5,10,,2
C0068018,24,111,ÎLE-DE-FRANCE,11,,6,3,2,2,,,,02,2,1,1,2,47,"02 CDI, Fonctionnaire",CER,00,383A,13M,40.990781636,71,26,6400,1,0,21,2
C0068034,30,111,BOURGOGNE,26,,6,6,1,2,,1,,02,2,1,2,2,50,"02 CDI, Fonctionnaire",CER,00,344A,17,38.751750356,71,26,5080,1,0,0,2
C0068093,25,111,BOURGOGNE,26,,6,5,1,2,1,,,02,2,1,1,2,50,01 Non salarié,CER,00,311C,17,43.565033141,,83,,1,0,,2
C0068096,27,112,RHÔNE-ALPES,82,,1,1,1,2,,,,02,1,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,422C,13L,61.950253343,92,82,1200,1,0,8,2
C0068125,23,111,CHAMPAGNE-ARDENNE,21,,5,4,2,2,,,,02,2,1,2,2,34,"02 CDI, Fonctionnaire",CER,00,387D,09M,62.38182508,05,11,1742.6640625,1,0,37,2
C0068204,23,111,BOURGOGNE,26,,4,1,2,2,,,,02,2,1,2,2,38,"02 CDI, Fonctionnaire",CER,00,541A,10L,64.837078719,91,26,1500,1,2,7,2
C0068235,23,111,BOURGOGNE,26,,5,3,2,1,,,,03,1,1,1,2,49,"02 CDI, Fonctionnaire",CER,00,387E,16,33.983784869,71,26,1875,1,0,8,2
C0068279,23,111,BOURGOGNE,26,2,,1,2,2,,,,01,1,1,1,2,47,"02 CDI, Fonctionnaire",CER,00,691F,18M,8.7322803429,01,26,1678,1,4,47,2
C0068348,23,111,CENTRE,24,,2,3,2,2,,,,02,1,1,2,2,34,"02 CDI, Fonctionnaire",CER,00,461F,09L,19.760625957,91,74,1445.5,1,0,51,2
C0068353,23,111,CENTRE,24,,1,4,2,2,,,,03,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,372C,13L,55.352657633,71,82,1914,1,0,6,2
C0068371,23,111,BOURGOGNE,26,,,4,2,2,,,,03,1,1,1,2,29,"02 CDI, Fonctionnaire",CER,00,487A,06T,57.068417993,03,26,1466.6640625,1,2,16,2
C0068401,23,400,BOURGOGNE,26,,5,5,1,2,,,,02,2,1,1,2,39,"02 CDI, Fonctionnaire",CER,00,451F,10M,36.467981055,05,82,1435,1,0,0,2
C0068441,23,111,ÎLE-DE-FRANCE,11,,3,2,2,1,,,,03,2,2,2,2,33,"02 CDI, Fonctionnaire",CER,00,432D,08,71.732302508,91,11,1548,1,8,24,2
C0068480,23,111,BOURGOGNE,26,,3,6,2,2,,,,03,2,1,2,2,46,"02 CDI, Fonctionnaire",CER,00,372A,13L,54.253369942,72,26,2022,1,5,44,2
C0068634,23,111,BOURGOGNE,26,,,2,2,2,,,,02,1,1,2,2,40,"02 CDI, Fonctionnaire",CER,00,554E,12L,36.63410279,91,26,1428,1,6,32,2
C0068699,23,111,BOURGOGNE,26,,1,2,2,2,2,,,03,1,2,1,2,38,,CER,00,,11L,32.475862034,,26,,2,2,11,2
